frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
60,1,0.9340727925300598,589.50634765625,302.8928527832031,395.5646057128906,386.0213317871094,523.0182495117188,266.8970642089844,684.5980834960938,326.019775390625,909.2239990234375,407.5135803222656,,,377.7774658203125,383.15509033203125,,,0.54140246,0.5982931,0.6601438,0.06597105,0.53113264,0.47317937
61,1,0.9344596862792969,588.9759521484375,303.0106201171875,395.6582336425781,386.25640869140625,523.3101196289062,267.0496520996094,684.7966918945312,326.63720703125,909.5213623046875,408.13507080078125,,,377.80780029296875,383.66143798828125,,,0.54148746,0.59801275,0.6602614,0.06584606,0.5311594,0.47344023
62,1,0.9357214570045471,588.1375732421875,303.37969970703125,396.35638427734375,386.9773864746094,522.273193359375,267.150634765625,684.3759765625,326.9822998046875,910.1319580078125,408.919677734375,,,375.57366943359375,384.3755187988281,,,0.5420339,0.59713745,0.6603117,0.06520633,0.5330066,0.4744801
63,1,0.9364945888519287,587.8421630859375,303.1843566894531,397.1510009765625,387.88397216796875,521.3228149414062,266.7224426269531,683.9884033203125,326.5251770019531,910.4595336914062,408.767333984375,,,374.97222900390625,384.5132751464844,,,0.5424293,0.59778804,0.6610643,0.06502556,0.5325698,0.4738458
64,1,0.9364370703697205,587.7527465820312,303.1046142578125,397.3544921875,388.2012023925781,520.8758544921875,266.7641296386719,683.7365112304688,326.590087890625,910.5028686523438,408.7624206542969,,,374.58697509765625,384.5845947265625,,,0.54246795,0.597619,0.6615025,0.06484647,0.53241175,0.47316542
65,1,0.9369353652000427,587.0806884765625,303.399658203125,397.9180603027344,388.9541320800781,519.0042114257812,266.50286865234375,682.423583984375,325.65771484375,910.4383544921875,407.7551574707031,,,374.265869140625,384.42987060546875,,,0.54241896,0.599534,0.6643479,0.064841576,0.5293354,0.46758825
66,1,0.9380680918693542,586.1866455078125,303.5072937011719,398.18670654296875,389.2138977050781,519.6543579101562,266.1710205078125,683.3903198242188,325.5303955078125,911.369384765625,408.2559814453125,,,372.72540283203125,384.5096435546875,,,0.5422419,0.5995266,0.66331816,0.06472608,0.53238744,0.47028816
67,1,0.9377300143241882,585.5390625,303.87322998046875,398.93658447265625,389.9464416503906,520.8361206054688,265.8312072753906,683.9028930664062,325.1151123046875,911.1893920898438,408.2284851074219,,,373.5439147949219,384.37115478515625,,,0.54132456,0.6004926,0.6622814,0.065392576,0.5332986,0.47211105
68,1,0.9376773834228516,584.9859619140625,304.00689697265625,399.1009216308594,390.1997375488281,521.4315795898438,265.66400146484375,684.265625,324.89105224609375,911.2642211914062,408.13897705078125,,,373.7048645019531,384.390625,,,0.54074293,0.6007294,0.66196984,0.06571484,0.5333056,0.4723493
69,1,0.9378684759140015,584.4689331054688,304.0518798828125,400.3386535644531,391.5908508300781,520.624755859375,265.9539794921875,683.73779296875,325.09759521484375,911.0465087890625,408.33795166015625,,,373.13134765625,384.73699951171875,,,0.5407461,0.60082716,0.66251117,0.06557801,0.533052,0.47132048
