epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1177.39,0.38811,0.56355,0.47646,0.39107,0.94036,0.9911,0.99884,0.99167,0.98566,0.9911,0.99884,0.99167,0.91961,0.24725,0.41615,0.58176,0.28589,0.79792,0.00134684,0.00134684,0.00134684
99,1191.51,0.39295,0.57804,0.4693,0.39915,0.96537,0.9814,0.99304,0.98837,0.97235,0.9814,0.99304,0.98837,0.90332,0.27085,0.48625,0.57927,0.27785,0.80401,0.00134354,0.00134354,0.00134354
100,1200.96,0.3462,0.58,0.47014,0.37175,0.92469,0.97779,0.99091,0.98785,0.97359,0.97779,0.99091,0.98785,0.91259,0.24453,0.44253,0.58425,0.31427,0.79914,0.00134023,0.00134023,0.00134023
101,1209.61,0.34903,0.60186,0.47839,0.35263,0.92541,0.9831,0.99091,0.99096,0.9831,0.97386,0.98182,0.98481,0.91331,0.23474,0.43643,0.5773,0.30266,0.79158,0.00133693,0.00133693,0.00133693
102,1218.88,0.36394,0.67013,0.46906,0.358,0.96148,0.98447,0.99091,0.99103,0.97915,0.97523,0.98182,0.98354,0.90398,0.22402,0.48296,0.57658,0.26485,0.78512,0.00133363,0.00133363,0.00133363
103,1226.77,0.36261,0.57455,0.46617,0.36055,0.93974,0.98831,0.99183,0.98992,0.98384,0.97906,0.98274,0.9817,0.89946,0.23678,0.5478,0.57784,0.26792,0.79135,0.00133033,0.00133033,0.00133033
104,1241.37,0.3736,0.63808,0.48308,0.36308,0.94528,0.98969,0.99302,0.98932,0.98273,0.98969,0.99302,0.98932,0.91492,0.23446,0.45636,0.57496,0.27426,0.79193,0.00132703,0.00132703,0.00132703
105,1254.6,0.36799,0.60731,0.47006,0.37187,0.96082,0.99099,0.99415,0.98932,0.98254,0.99099,0.99415,0.98932,0.91964,0.23159,0.41635,0.57672,0.25683,0.79608,0.00132373,0.00132373,0.00132373
106,1263.88,0.35914,0.52796,0.48172,0.3726,0.93069,0.99026,0.99327,0.99,0.978,0.99026,0.99327,0.99,0.93471,0.24996,0.42961,0.57194,0.2695,0.80382,0.00132043,0.00132043,0.00132043
107,1279.01,0.38463,0.4759,0.45625,0.39511,0.95836,0.98821,0.99384,0.99189,0.97709,0.98821,0.99384,0.99189,0.92389,0.24595,0.41818,0.56926,0.26912,0.80555,0.00131713,0.00131713,0.00131713
108,1287.15,0.35861,0.5754,0.46802,0.3604,0.94403,0.98889,0.99934,0.99258,0.97629,0.98889,0.99934,0.99258,0.92437,0.24687,0.45212,0.57364,0.25588,0.7986,0.00131383,0.00131383,0.00131383
109,1299.45,0.37316,0.56637,0.46417,0.38548,0.94049,0.98546,0.99156,0.99212,0.98303,0.98546,0.99156,0.99212,0.92624,0.21595,0.40891,0.57377,0.25113,0.78923,0.00131053,0.00131053,0.00131053
110,1312.28,0.35127,0.50496,0.48541,0.34862,0.92958,0.98905,0.99885,0.9925,0.97727,0.98905,0.99885,0.9925,0.92052,0.2402,0.4323,0.57595,0.26188,0.79777,0.00130723,0.00130723,0.00130723
111,1321.7,0.34005,0.45025,0.48023,0.33038,0.92231,0.99034,1,0.99303,0.98714,0.99034,1,0.99303,0.93159,0.2201,0.38022,0.57456,0.24332,0.79104,0.00130393,0.00130393,0.00130393
112,1331.28,0.37267,0.53727,0.45923,0.36177,0.9528,0.99075,1,0.99106,0.97558,0.99075,1,0.99106,0.93454,0.22418,0.36821,0.56965,0.24962,0.79029,0.00130063,0.00130063,0.00130063
113,1344.27,0.37608,0.51475,0.46313,0.35854,0.92296,0.97848,1,0.99006,0.9723,0.97848,1,0.99006,0.94033,0.26288,0.4043,0.56774,0.26739,0.80085,0.00129733,0.00129733,0.00129733
114,1357.13,0.39606,0.63755,0.4719,0.3782,0.95792,0.99086,1,0.99038,0.97617,0.99086,1,0.99038,0.93438,0.246,0.37815,0.57266,0.25084,0.79945,0.00129403,0.00129403,0.00129403
